Name;Tracks;Scrobbles;Rank
"Sam Jones";"1";"1";"5582"
"mugwisa international xylophone group";"3";"10";"1480"
"kurup";"16";"73";"175"
"Magnus P.i";"4";"11";"1346"
"Native Cruise";"16";"43";"324"
"Will Lister";"4";"17";"876"
"Rouge Mécanique";"3";"5";"2511"
"LT";"6";"22";"659"
"Dear earth";"1";"2";"4170"
"Tom Esselle";"2";"15";"983"
"MSSS";"1";"4";"2897"
"SofaTalk";"9";"11";"1347"
"Four Tet";"76";"118";"85"
"Jessy Lanza";"7";"11";"1348"
"The Bones of J.R. Jones";"5";"5";"2512"
"Shiny Objects";"5";"8";"1782"
"Joseph Shabason";"16";"136";"67"
"Shabazz Palaces";"2";"4";"2898"
"PolyNation";"2";"2";"4171"
"Estrada Orchestra";"1";"1";"5583"
"Bicep";"4";"24";"587"
"DJ Nigga Fox";"2";"10";"1481"
"Peggy Gou";"15";"50";"286"
"Sons of Kemet";"5";"11";"1349"
"Shabaka Hutchings";"1";"2";"4172"
"Jameszoo";"1";"3";"3408"
"Evidence";"10";"14";"1040"
"Samiyam";"1";"1";"5584"
"Blue Lab Beats";"12";"28";"501"
"Susso";"11";"58";"241"
"Slime";"1";"1";"5585"
"Worldwide FM";"4";"5";"2513"
"Obongjayar";"2";"5";"2514"
"Mo Kolours";"9";"16";"928"
"Star Slinger";"1";"1";"5586"
"The Seshen";"2";"3";"3409"
"Gwenno";"1";"5";"2515"
"The Mysterons";"1";"1";"5587"
"Richard Houghten";"75";"112";"93"
"Virgil Howe";"1";"6";"2237"
"Michael Gordon";"1";"2";"4173"
"Cornelius";"3";"13";"1137"
"Skinshape";"54";"111";"95"
"Chassol";"13";"16";"929"
"Mr Jukes";"1";"1";"5588"
"Solesides";"1";"1";"5589"
"A Macaca";"2";"18";"817"
"Bill Withers";"3";"3";"3410"
"Maxwell Owin";"6";"20";"728"
"Robag Wruhme";"17";"60";"228"
"Daniel Avery";"24";"56";"251"
"Clever Austin";"9";"10";"1482"
"Mast";"20";"55";"260"
"Sean Khan";"1";"2";"4174"
"Bontan";"1";"1";"5590"
"La Yegros";"1";"1";"5591"
"Traumprinz";"14";"15";"984"
"Totally Enormous Extinct Dinosaurs";"12";"16";"930"
"Amber Mark";"9";"47";"302"
"Principles of Geometry";"1";"3";"3411"
"Midnight Sister";"6";"13";"1138"
"John Talabot";"18";"73";"176"
"Avalon Emerson";"7";"7";"1978"
"Toshio Matsuura Group";"8";"45";"309"
"Jessica Lauren";"1";"4";"2899"
"Grupo X";"1";"1";"5592"
"Kerala Dust";"7";"9";"1612"
"Alma Negra";"5";"16";"931"
"Seb Wildblood";"34";"68";"196"
"Rodrigo Gallardo";"33";"52";"271"
"Ryley Walker";"2";"3";"3412"
"Boards of Canada";"23";"36";"388"
"Kaitlyn Aurelia Smith";"40";"185";"38"
"Prince of Denmark";"4";"4";"2900"
"Majik";"1";"3";"3413"
"C.O.W. 牛";"3";"3";"3414"
"Ross From Friends";"23";"49";"291"
"Ólafur Arnalds";"30";"117";"87"
"Marenn Sukie";"10";"14";"1041"
"Glenn Astro";"18";"94";"124"
"DJ Katapila";"1";"2";"4175"
"Earthboogie";"10";"33";"421"
"Bennis Cletin";"1";"1";"5593"
"Rang'ala";"1";"2";"4176"
"Francis Bebey";"5";"13";"1139"
"Christy Essien";"2";"10";"1483"
"Aby Ngana Diop";"1";"3";"3415"
"Ali Nuur";"1";"2";"4177"
"Maisha";"2";"4";"2901"
"Ezra Collective";"57";"314";"13"
"Theon Cross";"5";"6";"2238"
"Cortex";"6";"7";"1979"
"Oceanvs Orientalis";"30";"72";"178"
"Lutto Lento";"7";"7";"1980"
"Nicola Cruz";"51";"154";"58"
"Gábor Szabó";"20";"91";"134"
"Ali Kuru";"6";"8";"1783"
"Shaluza Max";"1";"6";"2239"
"Leon Vynehall";"32";"59";"233"
"Yaeji";"2";"3";"3416"
"Bawrut";"1";"4";"2902"
"Midland";"5";"10";"1484"
"Mr. Fingers";"5";"5";"2516"
"JD Twitch";"2";"2";"4178"
"Melé";"5";"12";"1237"
"Tale of Us";"2";"4";"2903"
"Yotam Avni";"1";"3";"3417"
"Mr. T.C.";"1";"1";"5594"
"Massimo Vanoni";"1";"1";"5595"
"Baaba Maal";"1";"1";"5596"
"Mr Raoul K";"2";"2";"4179"
"Khidja";"2";"2";"4180"
"Hey Mother Death";"1";"1";"5597"
"Mark Knight";"1";"6";"2240"
"The Emperor Machine";"4";"13";"1140"
"Bob Sinclar";"1";"2";"4181"
"Trikk";"1";"1";"5598"
"Mind Enterprises";"2";"2";"4182"
"Cerrone";"6";"13";"1141"
"Shuggie Otis";"13";"94";"125"
"Norma Tanega";"1";"1";"5599"
"Bepu N'Gali";"1";"1";"5600"
"Mocky";"10";"38";"372"
"Tune-Yards";"1";"1";"5601"
"thomas meinecke";"3";"8";"1784"
"Tenesha The Wordsmith";"10";"52";"272"
"Andréa Daltro";"1";"5";"2517"
"Morrison Kincannon";"16";"34";"408"
"FYI Chris";"3";"3";"3418"
"Koji Ono";"1";"1";"5602"
"Ruby Rushton";"5";"6";"2241"
"Piry Reis";"1";"4";"2904"
"Avant Garde";"1";"1";"5603"
"Nando Carneiro";"1";"6";"2242"
"Cinema";"1";"5";"2518"
"Os Mulheres Negras";"2";"6";"2243"
"Fernando Falcão";"12";"66";"202"
"Anno Luz";"1";"3";"3419"
"Sunwatchers";"6";"6";"2244"
"Che";"10";"22";"660"
"Radio Slave";"2";"6";"2245"
"Tommaso Cappellato";"17";"25";"561"
"Dr. Lonnie Smith";"4";"4";"2905"
"Planet Battagon";"2";"5";"2519"
"Populous";"6";"10";"1485"
"松浦俊夫 presents HEX";"8";"16";"932"
"Umeko Ando";"18";"25";"562"
"Gacha Bakradze";"1";"1";"5604"
"Marc Moulin";"5";"7";"1981"
"Portable Sunsets";"2";"3";"3420"
"San Ignacio";"13";"22";"661"
"Discoshaman";"1";"3";"3421"
"Rio Mira";"1";"1";"5605"
"Jean Grae";"12";"14";"1042"
"Improbeats";"3";"7";"1982"
"Tom Misch";"7";"10";"1486"
"Ekambi Brillant";"1";"7";"1983"
"String Theory";"3";"5";"2520"
"Hailu Mergia";"13";"21";"693"
"Dj Duke";"2";"6";"2246"
"GO DUGONG";"15";"26";"540"
"Romare";"46";"248";"21"
"Chancha Via Circuito";"21";"39";"364"
"Alican";"1";"6";"2247"
"Tuğçe Kurtiş";"1";"2";"4183"
"Shake Stew";"11";"36";"389"
"Massive Attack";"4";"6";"2248"
"Shakarchi & Stranéus";"17";"210";"31"
"The Irresistible Force";"5";"7";"1984"
"Chip Wickham";"9";"27";"516"
"Paul White";"8";"15";"985"
"Wajatta";"8";"13";"1142"
"Manfredas";"9";"12";"1238"
"Blu";"3";"3";"3422"
"Poté";"3";"6";"2249"
"Cecil Taylor";"2";"3";"3423"
"Haley Bonar";"1";"7";"1985"
"Donald Byrd";"1";"1";"5606"
"The Notwist";"9";"14";"1043"
"<Unknown>";"1";"1";"5607"
"Onyx Collective";"16";"19";"771"
"Kamaal Williams";"28";"98";"119"
"Kiasmos";"7";"8";"1785"
"James 'Creole' Thomas";"13";"15";"986"
"Bonobo";"48";"537";"2"
"Nickodemus";"20";"45";"310"
"bleaker";"1";"1";"5608"
"Kelis";"1";"7";"1986"
"Mehmet Aslan";"9";"39";"365"
"Nicola Conte";"33";"120";"82"
"Carsten Erobique Meyer";"3";"9";"1613"
"Alogte Oho & His Sounds of Joy";"2";"13";"1143"
"Clap! Clap!";"19";"73";"177"
"Pletnev";"7";"10";"1487"
"Yør Kultura";"10";"26";"541"
"Musi-O-Tunya";"1";"1";"5609"
"Hippster Trio";"1";"1";"5610"
"Altin Gün";"23";"44";"317"
"Selda Bağcan";"2";"3";"3424"
"Derya Yildirim";"2";"5";"2521"
"Mustafa Özkent";"2";"7";"1987"
"Om Alec Khaoli";"3";"9";"1614"
"Truckers Of Husk";"1";"3";"3425"
"Shabaka And The Ancestors";"8";"16";"933"
"Dead Horse Beats";"2";"8";"1786"
"Auntie Flo";"32";"86";"148"
"Tech Insider";"1";"1";"5611"
"Richard Rossa";"1";"2";"4184"
"Dan Lissvik";"4";"5";"2522"
"José Manuel";"1";"1";"5612"
"Marc Rapson";"1";"1";"5613"
"Black Coffee";"1";"2";"4185"
"Emma-Jean Thackray";"10";"18";"818"
"Mose Robers";"1";"1";"5614"
"Niña Dioz";"1";"1";"5615"
"The Internet";"1";"2";"4186"
"Tsvia Abarbanel";"4";"34";"409"
"The Kutimangoes";"2";"2";"4187"
"Roman Flügel";"9";"19";"772"
"Jordan Rakei";"11";"22";"662"
"Flo Morrissey and Matthew E. White";"4";"6";"2250"
"Bené Fonteles";"1";"2";"4188"
"Carlinhos Santos";"1";"2";"4189"
"Priscilla Ermel";"2";"4";"2906"
"Carioca";"1";"2";"4190"
"Marco Bosco";"2";"5";"2523"
"Maria Rita";"1";"6";"2251"
"Luli e Lucina";"1";"1";"5616"
"Gonzales";"37";"228";"25"
