Artist;Album;AlbumId;Track;Date#fadgad
"DJ Koze";"Knock Knock";"491df52c-442f-4429-8a33-14e21c14639f";"Club der Ewigkeiten";"1533295373000"
"DJ Koze";"Knock Knock";"491df52c-442f-4429-8a33-14e21c14639f";"Bonfire";"1533295624000"
"DJ Koze";"Knock Knock";"491df52c-442f-4429-8a33-14e21c14639f";"Moving In A Liquid";"1533295949000"
"Nicola Conte";"Let Your Light Shine On";"77e8a5a2-288f-4d31-8b31-85e08842678c";"Cosmic Peace";"1533303231000"
"Nicola Conte";"Let Your Light Shine On";"77e8a5a2-288f-4d31-8b31-85e08842678c";"Universal Rhythm";"1533304437000"
"Jonwayne";"TED Talk";"";"TED Talk";"1533304736000"
"Jonwayne";"Rap Album One";"6c4322ae-58ba-4c5f-9e8b-926d77203a4f";"Find Me in the Future";"1533304978000"
"Khruangbin";"Con Todo El Mundo";"25bdabb1-f768-45f4-a6a4-a35718d70a1e";"Maria También";"1533310529000"
"Penya";"Acelere";"";"Acelere - DJ Jose Marquez Instrumental";"1533311180000"
"Vakula";"Cyclicality Between Procyon And Gomeisa";"11881f9a-72e2-4d1d-a7a8-6396d208b9a8";"Intergalactic Funk";"1533311190000"
"Susso";"Keira";"513c949f-dfbf-416b-915a-bcfb2f741dc9";"Foday Kunda";"1533311545000"
"Mytron & Ofofo";"Si Jambo";"";"Something for the Mind";"1533311826000"
"Hudson People";"Be Arisionable Vol.2";"";"Trip To Your Mind";"1533312151000"
"DJ Khalab";"Black Noise 2084";"";"Cannavaro";"1533312749000"
"Gorillaz";"The Now Now";"02f41720-962a-4746-83fe-dda72a284885";"Souk Eye";"1533313024000"
"Susso";"Keira";"513c949f-dfbf-416b-915a-bcfb2f741dc9";"Tomora";"1533313298000"
"Oscar Jerome";"Where Are Your Branches? (Remixes)";"";"Where Are Your Branches? - Max Graef Remix";"1533313682000"
"Gorillaz";"The Now Now";"02f41720-962a-4746-83fe-dda72a284885";"Hollywood (feat. Snoop Dogg & Jamie Principle)";"1533313968000"
"Fernando Falcão";"Outro Tempo";"";"Amanhecer tabajara (à Alceu Valença)";"1533314262000"
"Mekine U Teksi";"Postanatolische Hybride - Die Steppenroboter LP";"";"Emigration";"1533329028000"
"Mekine U Teksi";"Postanatolische Hybride - Die Steppenroboter LP";"";"Resistenz";"1533329366000"
"Mekine U Teksi";"Postanatolische Hybride - Die Steppenroboter LP";"";"Odyssee";"1533329694000"
"Mekine U Teksi";"Postanatolische Hybride - Die Steppenroboter LP";"";"Weltschmerz";"1533329936000"
"Vakula";"Metaphors";"c8b8de27-e9eb-4ef8-b75f-5bbb07438237";"Smooth Movement";"1533330270000"
"Vakula";"Metaphors";"c8b8de27-e9eb-4ef8-b75f-5bbb07438237";"Proem";"1533330532000"
"La Banda de Martin";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Mi Dueño";"1533331072000"
"TCP";"Tropical Drums of Deutschland";"525f7f42-f775-4951-bb57-2e0b7005b327";"At The Water-Hole - Wolf Müller Edit";"1533331281000"
"Vakula";"Cyclicality Between Procyon And Gomeisa";"11881f9a-72e2-4d1d-a7a8-6396d208b9a8";"Deep Motivation";"1533331815000"
"DENIS MPUNGA & PAUL K.";"Criola Remixed";"";"Intermezzo B - Dazion Remix";"1533332209000"
"History of Colour";"Calidoso";"2243a618-99c5-4b01-bcb6-443d66497b14";"Jineteada";"1533332835000"
"Valentin Stip";"Angst";"f395e9f4-80eb-47e6-b2df-e26b721636e0";"Hiathaikm - Hugo Bocca Remix";"1533347505000"
"Martyn";"Inside Out (Mixed Tracks)";"";"Feel the Magnetism - Mixed";"1533347763000"
"Martyn";"Glassbeadgames (8 Hours at Fabric Dub)";"311e0d16-973e-466b-92aa-d4652da20a02";"Glassbeadgames - 8 Hours at Fabric Dub";"1533347914000"
"Martyn";"Voids";"62222164-60c4-4dc6-8bc3-1f99e8c90007";"Manchester";"1533347993000"
"Penguin Cafe Orchestra";"Broadcasting From Home";"";"Music For A Found Harmonium";"1533378965000"
"Penguin Cafe Orchestra";"Broadcasting From Home";"";"Prelude & Yodel";"1533379195000"
"Penguin Cafe Orchestra";"Broadcasting From Home";"";"More Milk";"1533379386000"
"Penguin Cafe Orchestra";"Broadcasting From Home";"";"Sheep Dip";"1533379626000"
"Penguin Cafe Orchestra";"Broadcasting From Home";"";"White Mischief";"1533379977000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Memória das águas";"1533380783000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Amanhecer tabajara (à Alceu Valença)";"1533381018000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Ladeira dos inocentes";"1533381320000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Revoada";"1533381636000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Mercado (gravado no Mercado Tanger)";"1533381830000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Curimão (Sons Onomatopaicos e Folk da Guiné)";"1533382234000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Solito (solo de Balauê)";"1533382493000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Danado Cantador (Balauê, Orquestra e Declamação) (À Fagner)";"1533382780000"
"Di Melo";"Di Melo";"81c3325b-2798-4d38-a8d9-ab54fe1681e7";"Kilariô";"1533383002000"
"Di Melo";"Di Melo";"81c3325b-2798-4d38-a8d9-ab54fe1681e7";"A Vida em Seus Métodos Diz Calma";"1533383225000"
"Di Melo";"Di Melo";"81c3325b-2798-4d38-a8d9-ab54fe1681e7";"Aceito Tudo";"1533383403000"
"Di Melo";"Di Melo";"81c3325b-2798-4d38-a8d9-ab54fe1681e7";"Conformópolis";"1533383568000"
"Di Melo";"Di Melo";"81c3325b-2798-4d38-a8d9-ab54fe1681e7";"Má-lida";"1533383778000"
"Di Melo";"Di Melo";"81c3325b-2798-4d38-a8d9-ab54fe1681e7";"Pernalonga";"1533383877000"
"Yellow Days";"Is Everything Okay in Your World?";"54abdeaa-5b7f-4d11-88bb-62abd3680741";"Outro (Lost in a World with You)";"1533392045000"
"Max Graef";"Rivers of the Red Planet";"21d8c553-8313-4372-b2ac-84c3e29745a5";"Intro";"1533392222000"
"Max Graef";"Rivers of the Red Planet";"21d8c553-8313-4372-b2ac-84c3e29745a5";"Itzehoe";"1533392399000"
"Max Graef";"Rivers of the Red Planet";"21d8c553-8313-4372-b2ac-84c3e29745a5";"Superswiss";"1533392694000"
"Max Graef";"Rivers of the Red Planet";"21d8c553-8313-4372-b2ac-84c3e29745a5";"Running";"1533392764000"
"LT";"Forest Floor";"";"Forest Floor";"1533394761000"
"LT";"Forest Floor";"";"Forest Floor";"1533395619000"
"Tutu Atrash";"Jaja Nights";"";"Mageba";"1533397300000"
"Tutu Atrash";"Jaja Nights";"";"Jaja Nights";"1533397473000"
"Tutu Atrash";"Jaja Nights";"";"Jaja Nights";"1533397654000"
"Tutu Atrash";"Jaja Nights";"";"Jahela";"1533397878000"
"Tutu Atrash";"Jaja Nights";"";"Jahela";"1533398214000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"S.O";"1533399505000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"Arthur";"1533399699000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"Anxi.";"1533399945000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"Lucid";"1533400172000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"Evolution";"1533400385000"
"Kelly Lee Owens";"Bird";"81af8ee6-807b-4c90-9d33-69e1a42d6c2e";"Bird - Prins Thomas Diskomiks DJ Edit";"1533400585000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"Bird";"1533401193000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"Throwing Lines";"1533401508000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"CBM";"1533401695000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"Keep Walking";"1533402349000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"CBM";"1533402349000"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"8084d0bf-8039-40d4-a302-9746f0c314cc";"8";"1533402632000"
"Ashley Henry";"Easter - EP";"";"The World Is Yours - Ashley Henry Version";"1533402941000"
"GoGo Penguin";"Man Made Object (Deluxe)";"";"Branches Break";"1533403258000"
"Kiki Gyan";"24 Hours in a Disco 1978-82";"b3a051b3-871e-4ccb-a888-2abe560c9f4c";"Disco Dancer";"1533403551000"
"Earthboogie";"Human Call";"01c07e60-34c3-41c9-908b-d4f9b2cf071c";"Silken Moon (feat. Nina Miranda)";"1533403950000"
"Total Art Of Percussion";"Tropical Drums of Deutschland";"525f7f42-f775-4951-bb57-2e0b7005b327";"Wuhan Wuchang";"1533406280000"
"Maajo";"Tropic Of Tulli";"9997b2a2-d91c-4313-8b9a-5c6ffb06e392";"Maajo";"1533406710000"
"Maajo";"Tropic Of Tulli";"9997b2a2-d91c-4313-8b9a-5c6ffb06e392";"A O O";"1533407257000"
"N C C U";"Beauty: A Journey Through Jeremy Underground's Collection";"";"Superstar";"1533407674000"
"Larry Maluma";"Crown Ruler Sound (Compiled by Jeremy Spellacey)";"";"Kamusale";"1533408039000"
"Om Buschman";"Tropical Drums of Deutschland";"525f7f42-f775-4951-bb57-2e0b7005b327";"Hey Tata Gorem - Wolf Müller Edit";"1533408293000"
"Earthboogie";"Human Call";"01c07e60-34c3-41c9-908b-d4f9b2cf071c";"Overground";"1533408589000"
"Argile";"Tropical Drums of Deutschland";"525f7f42-f775-4951-bb57-2e0b7005b327";"Kleine Rosa Wolke";"1533409032000"
"Creative Arts Ensemble";"Beauty: A Journey Through Jeremy Underground's Collection";"";"Unity";"1533409313000"
