Name;Tracks;Scrobbles;Rank;Region
Ajeet;1;1;7071;
Matteo Silva;1;1;7072;
Todd Norian;1;1;7073;
Jai Uttal;1;1;7074;
Giselle World;1;17;920;
Charlie Hunter;2;2;4866;
Cinnaman;5;7;2110;
Uschi Classen;1;1;7075;
Qrion;1;2;4867;
Erosion Flow;1;1;7076;
Lianne La Havas;1;1;7077;
Sandra Bernardo;3;4;3137;
The Limiñanas;1;1;7078;
The Polish Ambassador;1;1;7079;
João Donato;1;1;7080;
Viggo Dyst;1;1;7081;
Two Another;2;4;3138;
Bronson;2;4;3139;
Gregor Salto;1;1;7082;
Keith Kirchoff;1;1;7083;
Aged in Harmony;5;19;813;
Glass Beams;10;47;313;
Atmosfear;2;5;2697;
Universal Togetherness Band;4;15;1035;
Royale;1;1;7084;
Don Blackman;2;4;3140;
Aeroplane;1;22;696;
Gümix;1;1;7085;
Mustard;1;9;1713;
Sotomayor;1;17;921;
Anka Foh;4;32;452;
DGTL;1;3;3801;
Long Island Sound;8;32;453;
Colors In Waves;1;1;7086;
Västlänken;1;10;1562;
Jose Neil Gomes;1;2;4868;
Pascal Schumacher;1;1;7087;
･ ･－･ ･－ ･･･ ･ －･･;1;1;7088;
Gregoire Maret;1;1;7089;
Mali Music;16;71;190;
Seba Campos;2;5;2698;
DJ Motion;1;5;2699;
Teleplasmiste;1;1;7090;
Montoya;5;18;867;
&ME;10;51;289;
Yelfris Valdés;1;1;7091;
Marteria;1;5;2700;
Robert Lamm;1;1;7092;
Pete Rock;3;10;1563;
Guy Gerber;1;1;7093;
Hoogen;1;1;7094;
invrs;7;7;2111;
Pagany;1;1;7095;
X-101;1;2;4869;
Circoloco;1;3;3802;
Teaspoon;1;2;4870;
Slauson Malone;1;3;3803;
Ry Cooder;1;1;7096;
Kosheen;1;1;7097;
Aaron Diehl;1;1;7098;
Gabriels;3;21;729;
Martin Kohlstedt;1;1;7099;
Dario Lessing;1;1;7100;
The Black Dog;2;23;659;
Rhythm & Sound;4;12;1310;
Chris Hyson;2;3;3804;
Joanne Forman;1;1;7101;
Zonderling;1;12;1311;
Scuba Z;1;1;7102;
Aucel;1;2;4871;
Queen Yahna;1;14;1110;
Bobby Womack;1;1;7103;
Angelo De Augustine;1;11;1429;
Michael White;1;1;7104;
Donny Hathaway;2;2;4872;
Metronomy;3;15;1036;
Damon Locks;2;5;2701;
Les Mamans du Congo;12;40;363;
Christine Salem;2;4;3141;
Baltra;2;14;1111;
Glen Brown;1;8;1898;
Batida apresenta: IKOQWE;1;15;1037;
Nuyorican Soul;5;5;2702;
Köni;1;3;3805;
Bliz Nochi;1;1;7105;
The Oddness;2;3;3806;
Nat Barrera;1;2;4873;
Palms Trax;2;4;3142;
Uabos;1;13;1207;
Bushwacka!;1;4;3143;
Aukai;2;3;3807;
Gerard Cousins;1;1;7106;
Moff & Tarkin;1;10;1564;
Gesloten Cirkel;1;6;2381;
Collins;1;13;1208;
Tober & Tober;1;11;1430;
LOKD;1;1;7107;
deep dimension;1;1;7108;
martha fun straaten;1;2;4874;
zmeyev;3;3;3808;
Radio Citizen;2;28;524;
Phlocalyst;1;1;7109;
Slipfunc;1;1;7110;
The Doors;1;1;7111;
Nu Genea;5;7;2112;
Hippie Dance;1;1;7112;
Cloudchord;1;1;7113;
Hoffy Beats;1;1;7114;
R.E.M.;1;1;7115;
The Cure;1;1;7116;
Janis Joplin;2;2;4875;
Naty Seres;1;1;7117;
Damon Albarn;18;64;217;
Reverie;1;1;7118;
Beak>;1;1;7119;
My Morning Jacket;1;3;3809;
Tranquility Bass;1;12;1312;
Janax Pacha;1;16;979;
Tiefe Wasser Berlin;1;1;7120;
Lakou Mizik;2;12;1313;
Lucio Battisti;1;1;7121;
João Gilberto;2;3;3810;
Italo Brutalo;1;1;7122;
ntombi ndaba;1;13;1209;
Themba;1;1;7123;
SONNS;1;11;1431;
Oracle Sisters;2;2;4876;
Seckou Keita;6;12;1314;
ᗰᗩᖇIEᑌ;1;1;7124;
David Rausch;2;2;4877;
Goat Girl;1;1;7125;
Jane Weaver;1;1;7126;
Thom Yorke;1;1;7127;
She Drew the Gun;1;1;7128;
Karen O;1;1;7129;
Kae Tempest;4;4;3144;
JO BISSA;1;1;7130;
El Michels Affair meets Liam Bailey;12;58;249;
Vaughan Mason;1;1;7131;
Tonbruket;5;6;2382;
Erland Cooper;3;7;2113;
Kenny Wheeler;1;2;4878;
RIDDIM CHANGO RECORDS;1;1;7132;
Koreless;5;7;2114;
Jacob Haage;1;1;7133;
Astrid Sonne;3;3;3811;
Yasuaki Shimizu;1;2;4879;
Space Afrika;2;2;4880;
Skalpel;2;5;2703;
Quasimoto;1;1;7134;
Nitty Gritty® Store Hours;1;1;7135;
RINse FM;1;1;7136;
Dogger;1;1;7137;
Shy FX;1;1;7138;
Mòo & Jo;1;1;7139;
Ilian Tape;1;1;7140;
Tom Wienland (Sound Voyage ,7 Samurai, panOptikum);1;4;3145;
Stones Throw Records;1;1;7141;
Rogue D;1;1;7142;
Flow Music;1;1;7143;
Caleesi & Sarah Kreis;1;1;7144;
Molly Lewis;3;6;2383;
ChairmanK;1;2;4881;
Takuya Kuroda;2;12;1315;
Mellow;1;1;7145;
UDM;1;1;7146;
Maga Bo;1;10;1565;
HaHa Sounds Collective;1;1;7147;
Waldo's Gift;2;2;4882;
Menahan Street Band;4;18;868;
John Lurie;1;21;730;
Dadawah;1;1;7148;
Web Web;25;109;103;🇩🇪 DE
The Still Brothers;1;2;4883;
Janelle Monáe;1;2;4884;
Don Cherry;11;17;922;
Annette Peacock;1;1;7149;
Terry Riley;1;1;7150;
Farhot;2;2;4885;
Balkan Taksim;1;1;7151;
Faithless;1;1;7152;
Délicieuse Musique;1;3;3812;
D.DAN;1;1;7153;
Nils Wülker;2;3;3813;
Zebra Centauri;1;4;3146;
les enfants sauvages;1;1;7154;
SPANDAU20;1;1;7155;
Ìxtahuele;1;1;7156;
Mahmoud Guinia;3;4;3147;
Erik von Spreckelsen;1;2;4886;
18 Rays;2;3;3814;
Dream Stars;1;1;7157;
Sedibus;1;1;7158;
G.B. Beckers;1;1;7159;
Ninja Tune;1;1;7160;
Fusion Groove Orchestra;1;3;3815;
Nikolaïevitch;1;1;7161;
Sarah Neufeld;1;2;4887;
Dürerstuben;1;1;7162;
Deer;1;1;7163;
Nutia;1;1;7164;
lokke;1;1;7165;
Fran & Flora;1;1;7166;
Johanna Burnheart;1;1;7167;
Esteble;1;1;7168;
Tepeme Música;3;5;2704;
Prince Fatty;2;4;3148;
Sven Wunder;11;23;660;
Jon Kennedy;11;61;231;
Phil Stroud;1;6;2384;
Chapelier Fou;2;8;1899;
Chris Merrick Hughes;1;1;7169;
ishi vu;1;10;1566;
Mama;1;14;1112;
Mabe Fratti;1;4;3149;
Alyson McNamara;1;8;1900;
Ghost Funk Orchestra;3;6;2385;
Yppah;1;2;4888;
Patrick Pulsinger;1;1;7170;
Motte Edits;2;3;3816;
David Rojas;1;1;7171;
Sun Palace;1;1;7172;
Function;1;7;2115;
Cihangir Aslan;1;18;869;
Rosie Lowe;7;15;1038;
The KBCS;1;1;7173;
brother portrait;1;1;7174;
Mom;2;2;4889;
Josiah Steinbrick;6;11;1432;
Ulises Conti;1;1;7175;
Glenn Gould;1;1;7176;
algarhythms;1;3;3817;
80’s Child;1;1;7177;
Yasmin Williams;1;2;4890;
Vanishing Twin;4;9;1714;
Arooj Aftab;4;19;814;
Alain Goraguer;1;1;7178;
Leslie Winer;1;1;7179;
Haiku Salut;1;16;980;
Nailah Hunter;2;13;1210;
TALsounds;1;1;7180;
Carm;1;1;7181;
Thomash (Pollinations);1;2;4891;
Diego Alejandro Silva;1;1;7182;
Karen y Los Remedios;2;4;3150;
Ronald Christoph;1;2;4892;
NEU/BODY;1;1;7183;
CircoLoco Records;1;1;7184;
Steffen Kirchhoff;1;10;1567;
Fergie;1;10;1568;
Cro;2;2;4893;
Alivenique;1;1;7185;
Drames Rurals;2;8;1901;
Skiifall;1;2;4894;
Ol' Burger Beats;2;14;1113;
Silky Drip;2;2;4895;
Jacana People;3;3;3818;
diantonie;1;1;7186;
-M-;3;3;3819;
Tsegue-Maryam Guebrou;1;4;3151;
Arthur Verocai;1;3;3820;
Foehn Trio;2;3;3821;
Kairo;2;2;4896;
Tara Clerkin Trio;10;16;981;
monki;2;3;3822;
Gonz Cabrera;1;2;4897;
Galactic Funk;1;1;7187;
Whypeopledance;1;1;7188;
Colin Vallon;1;2;4898;
Evamuss;1;1;7189;
Filippo Moscatello;1;1;7190;
Chris Stath;1;1;7191;
Phish;1;1;7192;
Dylevn;1;1;7193;
Peter Luedemann;1;1;7194;
Zug der Liebe;1;1;7195;
thebunkerny;1;5;2705;
Warmth;1;3;3823;
Emeka Ogboh;1;14;1114;
Arjuna Oakes;15;50;295;
Minoru Muraoka;1;23;661;
SMERZ;3;10;1569;
Phase Phorce;1;5;2706;
Adryan;1;5;2707;
GILB;1;5;2708;
Bel-Air Ltd;1;5;2709;
The Prince of Dance Music;1;5;2710;
Jared Wilson;1;4;3152;
The Godson;1;4;3153;
Lady B;1;4;3154;
Bluestaeb;5;6;2386;
Mike Servito;1;1;7196;
Live At Robert Johnson;1;3;3824;
Koffee;1;16;982;
Wig Wam;1;10;1570;
Bang Camaro;1;11;1433;
Phonica Records;1;1;7197;
IsBurning;1;3;3825;
Otis Sandsjö;5;6;2387;
TheSorryEntertainer;1;1;7198;
Philipp Fein;1;2;4899;
DJ Fog Puma;1;1;7199;
Dumbo Gets Mad;1;1;7200;
Alma Linda;3;5;2711;
Sound Earth Legacy;1;2;4900;
Maxim Lany;1;2;4901;
Gab Ferreira;1;2;4902;
Fabulous/Arabia;1;1;7201;
Valerie June;1;1;7202;
Alain Bellaïche;2;5;2712;
Inwards;1;16;983;
The Poets of Rhythm;3;9;1715;
Let Your Hair Down;1;1;7203;
Doctor Flake;5;25;595;
Clem Beatz;3;6;2388;
The Geek x Vrv;4;6;2389;
brass.beats;1;1;7204;
Dafuniks;3;11;1434;
Downtown Owl;2;5;2713;
Novvel;1;2;4903;
Lemeria;1;1;7205;
JK Soul;1;1;7206;
Bequem;1;2;4904;
Logic1000;21;107;109;
Jacques Greene;2;2;4905;
Cascadeur;1;1;7207;
Christina Higham;1;3;3826;
Hideyuki Hashimoto;2;3;3827;
Sofia Nystrand;1;1;7208;
Rob Burger;1;2;4906;
Carlo Boscolli;1;3;3828;
William Cas;2;2;4907;
Dennis Korn;1;2;4908;
Sofiane Pamart;1;1;7209;
Asfar Hussain;1;1;7210;
Bobby Hutcherson;1;1;7211;
Cal Tjader;1;1;7212;
Quarter to Africa;1;2;4909;
Mira (Berlin);1;15;1039;
New Age Doom;1;1;7213;
Craig Leon;1;1;7214;
µ-Ziq;2;2;4910;
Tristan Arp;3;3;3829;
Riyoon;2;2;4911;
Hrag Mikkel;1;1;7215;
Lee Clarke;2;8;1902;
The Smile;20;32;454;
gouranga;1;1;7216;
Los Bitchos;8;23;662;
Dargz;10;31;469;
Fleetwood Mac;13;59;243;
In Aeternam Vale;1;2;4912;
Shlømo;1;2;4913;
EKSERD;1;1;7217;
Mishka;1;1;7218;
General Elektriks;1;1;7219;
Agoria;2;3;3830;
Spaniol;10;10;1571;
10cc;2;2;4914;
Carole King;1;1;7220;
Joe Walsh;1;1;7221;
Robert Palmer;2;2;4915;
Supertramp;1;1;7222;
Boz Scaggs;1;1;7223;
America;1;1;7224;
The Police;1;1;7225;
The Band;1;1;7226;
Van Morrison;1;1;7227;
Raffy Bushman;2;2;4916;
Diana Ross;1;1;7228;
Sam & Dave;1;1;7229;
Bastille;1;1;7230;
The O'Jays;1;1;7231;
The Doobie Brothers;1;1;7232;
Antonín Dvořák;2;2;4917;
George Frideric Handel;15;15;1040;
Franz Joseph Haydn;3;3;3831;
Edvard Grieg;3;3;3832;
Franz Schubert;2;2;4918;
Georges Bizet;2;2;4919;
Jacques Blanc;1;2;4920;
Iñaki García;1;1;7233;
Vetle Nærø;1;2;4921;
Nadia Oak;1;1;7234;
Areni Agbabian;1;1;7235;
Arash SaneE;1;3;3833;
Alice In Winter;1;1;7236;
Jørg Sorensen;1;2;4922;
Flóki;1;1;7237;
Music Lab Collective;1;2;4923;
Poppy Ackroyd;1;1;7238;
Eik Octobre;1;1;7239;
Wide Eyed;1;1;7240;
Mahan Farzad;1;1;7241;
John Glacier;2;17;923;
Kedr Livanskiy;1;1;7242;
Hamburg Spinners;1;5;2714;
Eiji Nakayama;1;1;7243;
_by.ALEXANDER;3;5;2715;
Nala Sinephro;3;8;1903;
Mindy Meng Wang 王萌;3;11;1435;
Scion;8;9;1716;
Jean Carn;2;4;3155;
Jianbo;1;1;7244;
Fred again..;5;12;1316;
Hubbabubbaklubb;2;7;2116;
Huw Marc Bennett;11;35;413;
Move 78;19;101;119;
Zeitgeist Freedom Energy Exchange;22;109;104;
Plaid;1;7;2117;
Silent Poets;2;3;3834;
Luca Lozano;1;6;2390;
Luca De-Santo;1;8;1904;
Oki;2;4;3156;
Apifera;6;20;762;
Aurora Dee Raynes;1;1;7245;
Rose Riebl;1;1;7246;
Doug Thomas;1;1;7247;
Caoimhín Ó Raghallaigh;1;1;7248;
Ola Claësson;1;1;7249;
Franz Becker;1;1;7250;
Jess Gillam;1;1;7251;
Otto A Totland;1;1;7252;
Jelly Cleaver;1;2;4924;
Tarwater;2;4;3157;
Sebastian Plano;1;1;7253;
Suricata;1;1;7254;
Cornelius Doctor;1;7;2118;
Markoza;1;1;7255;
Mind End;1;1;7256;
Svaneborg Kardyb;16;44;329;
Herbert;21;94;133;
Sibusile Xaba;1;1;7257;
박혜진 Park Hye Jin;2;9;1717;
Lady Blackbird;3;7;2119;
Ballaké Sissoko;5;19;815;
Fuubutsushi;1;1;7258;
Vivian Roost;1;1;7259;
Kimbra;1;1;7260;
Sound Of Mint;1;1;7261;
Lee Jones;1;1;7262;
WYS;2;3;3835;
Gotye;1;1;7263;
KYONGPAUL;4;22;697;
Bitchin Bajas;7;9;1718;
Dave Okumu;1;1;7264;
Ben Marc;14;90;144;🇬🇧 GB
Rogér Fakhr;5;12;1317;
Koki Nakano;2;2;4925;
Meduza;1;1;7265;
Deepend;1;1;7266;
Kalipo;1;7;2120;
Charles Mingus;1;2;4926;
Simon Lovermann;2;6;2391;
LI YILEI;3;11;1436;
Gene Lawrence;1;1;7267;
Yom;13;17;924;
Rosinha de Valença;1;12;1318;
Blundetto;6;15;1041;
Galt Macdermot;1;1;7268;
Hardkandy;2;2;4927;
Boris Garbiner Happening;1;1;7269;
Gil Scott-Heron & Brian Jackson;1;15;1042;
Girma Bèyènè;2;4;3158;
Baba Ali;1;3;3836;
Supergombo;11;71;191;
Dana Gavanski;1;2;4928;
e.vax;2;4;3159;
All Day Breakfast Cafe;2;13;1211;
pijama land;1;2;4929;
The KLF;2;14;1115;
Voyou;1;1;7270;
Lonely Guest;2;2;4930;
Alina Bzhezhinska;13;62;228;
Vega Trails;5;10;1572;
Harry Mudie;3;15;1043;
Extra Golden;2;2;4931;
Say She She;27;132;75;🇺🇸 US
Marisa Anderson;1;1;7271;
Gitkin;7;25;596;
Le Parody;1;1;7272;
Happyness;1;2;4932;
Eli & Fur;1;1;7273;
Larry Goldings;1;8;1905;
Jeremiah Chiu;6;22;698;
The Scorpions;2;13;1212;
Pyramid Project;1;7;2121;
Bananagun;11;40;364;
Fred Pallem;1;12;1319;
Cochemea;11;29;501;
Maria Chiara Argirò;3;6;2392;
1000 Beasts;1;1;7274;
Ted Lucas;9;21;731;
Minnie Riperton;1;14;1116;
Daniel Herskedal;1;1;7275;
Moon Diagrams;2;3;3837;
Arushi Jain;1;1;7276;
Houston & Dorsey;1;5;2716;
Joe Emerson;2;2;4933;
Moritz von Oswald Trio;11;23;663;
Richie Hawtin;1;3;3838;
Dub Syndicate;8;8;1906;
Roderic;1;18;870;
The Herbaliser;8;20;763;
Backini;1;1;7277;
Protassov;1;1;7278;
The Spy from Cairo;2;2;4934;
Scratch Bandits Crew;1;1;7279;
Marco Kleebauer;1;1;7280;
Da Break;2;5;2717;
Deepside Ludovic Navarre;2;8;1907;
Wet Leg;1;3;3839;
The Maccabees;1;1;7281;
Miret;1;11;1437;
Girma Hadgu;1;2;4935;
Robbie Basho;1;2;4936;
Leo Nocentelli;1;2;4937;
Yukicito;1;1;7282;
Seed Ensemble;1;1;7283;
Olof Dreijer;4;11;1438;
Taylor McFerrin;4;7;2122;
Grupo Bahia;1;2;4938;
Ms. Lauryn Hill;1;2;4939;
Melanie Charles;12;22;699;
Orchestre Tout Puissant Marcel Duchamp;5;8;1908;
Sexy Lazer;3;9;1719;
Sawako;1;1;7284;
Omni Gardens;4;8;1909;
Skrillex;1;1;7285;
Endel;7;7;2123;
Bolis Pupul;12;44;330;
Lonnie Holley;1;8;1910;
Warpaint;10;49;300;
Common Saints;9;12;1320;
Anthony Joseph;2;3;3840;
Pasteur Lappe;2;10;1573;
Lauren Ritter;2;3;3841;
Sofie Royer;1;11;1439;
Shabaka;10;18;871;
Donald's House;2;4;3160;
Kimyan Law;1;2;4940;
Haiyti;1;1;7286;
Dj Divo;1;7;2124;
Chloé (Thévenin);1;1;7287;
Bonfante;1;1;7288;
Barry Can't Swim;32;216;31;
Heinrich Kobberling;7;8;1911;
Lady Zu;2;9;1720;
Carlinhos Trompete;2;7;2125;
Luís Vagner;2;7;2126;
Tony Bizarro;2;8;1912;
Toni Tornado;2;7;2127;
Name UL;1;1;7289;
King Ghazi Presents Abu Sayah;1;1;7290;
SEBASTIEN CASANOVA;2;6;2393;
Y E L A G U A;1;1;7291;
Elektro Hafız;1;16;984;
Loli Molina;5;16;985;
Paulo Coração;1;1;7292;
Junior Mendes;1;1;7293;
Serginho Meriti;1;1;7294;
Anacy Arcanjo;1;1;7295;
Felix Laband;12;17;925;
Dope Lemon;1;1;7296;
Kenneth Bager;1;24;625;
MILJON;1;1;7297;
Solomun;2;6;2394;
Katalyst;8;20;764;
Phoebe Killdeer and the Short Straws;1;1;7298;
Brock Berrigan;1;1;7299;
Hooverphonic;1;1;7300;
I Monster;2;4;3161;
Hedflux;1;1;7301;
Gramatik;1;1;7302;
Still Corners;1;2;4941;
Santi & Tuğçe;2;2;4942;
Monkey Marc;1;1;7303;
Michael Nau;2;24;626;
Trinity FM;1;1;7304;
Benoît Pioulard;1;1;7305;
The Bongo Hop;11;14;1117;
Ólöf Arnalds;1;1;7306;
DJ Double;1;1;7307;
01001101;1;1;7308;
Ricardo Villalobos;3;17;926;
Cesar Merveille;1;2;4943;
Reboot;1;1;7309;
Rhadoo;1;2;4944;
Up, Bustle and Out;2;17;927;
Brandon Coleman;17;33;441;
Batbait;1;4;3162;
Zé Roberto;1;1;7310;
Louis Armstrong;1;1;7311;
Axel Thesleff;1;1;7312;
Tame Impala;2;4;3163;
Frankey & Sandrino;1;3;3842;
Fka Mash;1;9;1721;
Akofa Akoussah;3;9;1722;
Anushka;1;1;7313;
Brittany Howard;1;1;7314;
Stringtronics;1;1;7315;
Mamman Sani;3;6;2395;
Makers;1;4;3164;
Aldorande;1;4;3165;
Philip Ackowsky;1;2;4945;
Kronotrope;1;1;7316;
Stephen Disario;1;2;4946;
SW.;2;2;4947;
Jason Peters;2;5;2718;
Massimiliano Pagliara;2;4;3166;
Rage Against the Machine;3;3;3843;
Daniel Kehlmann;1;1;7317;
Martín Buscaglia;1;1;7318;
Aca Seca Trio;1;1;7319;
Tour-Maubourg;36;94;134;
The Detroit Escalator Co.;1;1;7320;
Blanka;2;6;2396;
Don Melody Club;3;6;2397;
Space Farm;1;1;7321;
Fred und Luna;1;9;1723;
La Chica;1;2;4948;
Yalnayak;1;11;1440;
Bloom Bat;2;4;3167;
QUINQUIS;1;1;7322;
Marengo;1;1;7323;
Ibeyi;1;1;7324;
John Roberts;1;1;7325;
space echo;1;1;7326;
Jaded;2;9;1724;
The Diasonics;6;6;2398;
McCoy Tyner;1;1;7327;
YokoO;1;7;2128;
Francis Harris;12;34;424;
Kate Simko;1;2;4949;
Triorität;2;3;3844;
Ghetto Priest;2;9;1725;
Rosinha De Valencia;1;1;7328;
Immersion;1;1;7329;
Conclave;13;45;323;
Akasha;2;11;1441;
Freestyle Man;3;23;664;
Klangkarussell;1;1;7330;
Ruby Goon;1;5;2719;
Wau Wau Collectif;18;31;470;
Lucien Johnson;1;1;7331;
Elijah Minnelli;1;1;7332;
Eduardo Castillo;1;11;1442;
Paula Tape;2;12;1321;
Pale Jay;6;11;1443;
Facta;1;2;4950;
Derya Yıldırım & Grup Şimşek;4;20;765;
Guy Contact;1;2;4951;
Greentea Peng;23;34;425;
Prefuse 73;2;9;1726;
Matt Berry;1;1;7333;
Eric Hilton;4;6;2399;
Etran de L'AÏr;2;2;4952;
Astrid Engberg;3;8;1913;
Crimewave;1;4;3168;
Bright & Findlay;2;3;3845;
Mar Seck;1;1;7334;
You'll Never Get to Heaven;1;1;7335;
Barbara Keith;1;3;3846;
Wu-Tang Clan;1;1;7336;
Peppe Nastri;1;2;4953;
The Cactus Channel;1;1;7337;
Channo;2;5;2720;
Shute;1;1;7338;
Tōth;3;4;3169;
mindchatter;14;32;455;
Marcoca;2;2;4954;
Neil Frances;13;29;502;
Freak Slug;1;1;7339;
Saint Jude;2;2;4955;
Hector Gachan;1;1;7340;
Blue Material;1;1;7341;
Will Van Horn;1;1;7342;
Model Man;1;1;7343;
Jazzbois;9;26;569;
Ebi Soda;10;21;732;
Nduduzo Makhathini;1;1;7344;
Amanda Whiting;8;19;816;
Immanuel Wilkins;7;27;544;
Inner Wave;1;1;7345;
Quelle Chris;1;2;4956;
Carthnage;2;2;4957;
Kek'star;2;11;1444;
Shay Hazan;11;36;403;
Tosca;10;33;442;
CRÁNEO;1;3;3847;
Funki Porcini;8;41;353;
Cookiee Kawaii;1;1;7346;
Inji;1;1;7347;
Ark Patrol;1;1;7348;
Madonna;1;1;7349;
Docx;1;1;7350;
Athletic Progression;27;137;69;🇩🇰 DK
Yaya Bey;7;16;986;
40 Winks;7;12;1322;
Jonny Trunk;1;1;7351;
Roy of the Ravers;1;1;7352;
Butch Cassidy Sound System;1;2;4958;
Kibrom Birhane;11;211;32;
A. Billi Free;4;19;817;
Kyoto Jazz Massive;1;3;3848;
International Soleil Band;1;12;1323;
Knowsum;5;9;1727;
Remulak;1;1;7353;
Joe Corfield;2;2;4959;
Glass Animals;1;1;7354;
Suzanne Ciani;9;13;1213;
Jean Sibelius;1;1;7355;
Eraan;1;1;7356;
NeTam;1;3;3849;
SPARKLE DIVISION;1;1;7357;
The Deadbeats;2;6;2400;
Pachyman;3;17;928;
Eva Geist;1;1;7358;
Sofie Birch;1;7;2129;
Tstewart;2;7;2130;
Jesper Ryom;3;21;733;
Deadbeat;1;6;2401;
Monophonics;1;9;1728;
Hannah Holland;1;3;3850;
Mkwaju Ensemble;1;2;4960;
Damiano von Erckert;2;7;2131;
Neue Grafik Ensemble;1;1;7359;
Charles Stepney;3;9;1729;
Magdy Al Hussainy;1;5;2721;
Vieux Farka Touré;8;20;766;
Saint Petersburg Disco Spin Club & Lipelis;2;21;734;
BALTHVS;4;13;1214;
Bobby Oroza;4;7;2132;
Timbaland;1;1;7360;
Prince Jammy;1;1;7361;
Rezident;2;12;1324;
Nomas;1;2;4961;
Ko Shin Moon;10;35;414;
Brian Tyler;1;1;7362;
Ahmed Malek;3;16;987;
Ranil;3;7;2133;
Dombrance;1;1;7363;
Fyfe;1;1;7364;
Mr. Ho;1;4;3170;
Echt!;1;1;7365;
Round;3;3;3851;
Pavel Dovgal;3;7;2134;
Modica;1;1;7366;
Illum Sphere;1;1;7367;
Retromigration;7;10;1574;
Connie Han;1;1;7368;
Robben Ford;1;1;7369;
Jean-Pierre Como;1;1;7370;
Glimlip;1;1;7371;
Swindle;1;1;7372;
Kansas Smitty's;1;8;1914;
Walt Weiskopf;1;1;7373;
June Chikuma;1;1;7374;
Steven Cooper;3;6;2402;
Upper Astral;6;12;1325;
Peter Winnipeg;3;5;2722;
Goldwash;1;1;7375;
clayjay;1;1;7376;
Fhin;1;1;7377;
Brothers Of My Uncle;1;2;4962;
Kinkajous;1;2;4963;
Marcos Resende;1;1;7378;
Anna Butterss;3;5;2723;
Melissa Aldana;1;1;7379;
Bonus Points;1;4;3171;
The Zenmenn;4;9;1730;
Kifu Mitsuhashi;1;2;4964;
Skeleten;1;3;3852;
Daniel Ögren;3;11;1445;
AcidSlop;8;23;665;
Slow Rotation Inc;4;22;700;
Deantoni Parks;1;2;4965;
Kikagaku Moyo;14;28;525;
Harold Al Souk;1;9;1731;
Jack J;16;40;365;
COUSIN KULA;8;15;1044;
Pachakuti;3;8;1915;
Javier Santiago;6;9;1732;
Plastikman;1;5;2724;
Train;1;1;7380;
Lipphead;7;7;2135;
Ezéchiel Pailhès;3;11;1446;
The Detroit Experiment;2;13;1215;
MadOne;1;1;7381;
Klein Zage;3;17;929;
Moonfish;1;1;7382;
The Movers;5;24;627;
KMRU;2;2;4966;
Orlando Weeks;1;2;4967;
Stella Chiweshe;1;2;4968;
Lion's Drums;1;1;7383;
Anderson .Paak;8;8;1916;
United Freedom Collective;31;193;37;🇬🇧 GB
The Suffers;1;14;1118;
Second Storey;1;1;7384;
Soccer96;3;14;1119;
Booka Shade;17;95;128;🇩🇪 DE
Metro Area;13;29;503;
Branko Mataja;1;19;818;
Tony Palkovic;1;3;3853;
Robert Slap;9;64;218;
Mim Suleiman;2;7;2136;
Charbonneau / Amato;1;1;7385;
Elmiene;1;1;7386;
Eiko Ishibashi;2;2;4969;
Chevals;2;2;4970;
Jack Chrysalis;1;1;7387;
Ernest Hood;1;1;7388;
Sterling Grove;2;2;4971;
BongBeck;1;1;7389;
Ben Böhmer;1;2;4972;
Duke Boara;1;1;7390;
Sau Poler;2;25;597;
Brutalist;1;1;7391;
Loure;8;22;701;
Stereoclip;1;1;7392;
Sunflwr;6;16;988;
Free Nationals;4;5;2725;
Ginny Reilly;6;13;1216;
Mukhtar Ramadan Idii;1;2;4973;
United Future Organization;1;2;4974;
Flanger;3;5;2726;
Moin;3;5;2727;
Kapitan;1;1;7393;
Dam Swindle;5;23;666;
Charlotte Day Wilson;1;1;7394;
column;1;1;7395;
Buddy Love;1;1;7396;
Pépe;2;8;1917;
A Mountain of One;1;6;2403;
John Haycock;2;2;4975;
yeyts.;4;7;2137;
VBND;1;2;4976;
Mothra;2;6;2404;
Boztown;2;3;3854;
Frenic;2;2;4977;
Blood Orange;2;2;4978;
Maple Syrup;1;7;2138;
Suff Daddy;2;4;3172;
Spaze Windu;1;3;3855;
DJ Harrison;15;24;628;
S. Fidelity;16;108;108;
Duan Wasi;2;2;4979;
AJMW;4;5;2728;
Figub Brazlevic;1;8;1918;
Raul Lovisoni;2;6;2405;
Eddie C;8;41;354;
Brooke Nils;1;1;7397;
Carrtoons;3;28;526;
K, Le Maestro;1;1;7398;
Konteks;2;4;3173;
Die Antwoord;1;2;4980;
Sagans;2;11;1447;
Alvin Curran;1;1;7399;
Simina Grigoriu;1;1;7400;
N O R M a L;1;1;7401;
Telemakus;1;1;7402;
Hugo;2;6;2406;
Matt Quentin;1;1;7403;
Koralle;1;2;4981;
halfpastseven;2;4;3174;
9 Lazy 9;4;15;1045;
London Grammar;1;2;4982;
LP Giobbi;3;5;2729;
The Quantic Soul Orchestra;1;7;2139;
Iugou;1;2;4983;
Sam Wilkes;4;7;2140;
Les Loups;1;1;7404;
Lemongrass;5;7;2141;
Terence Etc.;2;2;4984;
Fresh Pepper;2;3;3856;
Quinn Oulton;1;1;7405;
Lil Silva;11;29;504;
Jerome Thomas;3;3;3857;
Lionel Boy;1;1;7406;
Rosa Cecilia;1;1;7407;
Misha;1;1;7408;
Kabwasa;1;1;7409;
