Artist;Name;Scrobbles;Rank
Portico Quartet;Beyond Dialogue;1;13247
Portico Quartet;RGB;1;13248
PREQUEL;Saints;1;13249
PREQUEL;Nothing Better;2;8177
PREQUEL;You Shall Know The Truth;2;8178
PREQUEL;Walken;1;13250
Gizmo Varillas;Paraiso;3;5682
Gizmo Varillas;Gotta Getaway;1;13251
Gizmo Varillas;Hold On;1;13252
Gizmo Varillas;Outta My Mind;1;13253
Gizmo Varillas;Give a Little Love;1;13254
Gizmo Varillas;El Dorado;2;8179
Gizmo Varillas;Losing You;1;13255
Hidden Orchestra;First Light;1;13256
Hidden Orchestra;Western Isles;1;13257
Hidden Orchestra;Still;1;13258
Hidden Orchestra;The Lizard;1;13259
Hidden Orchestra;Long Orchard;1;13260
Hidden Orchestra;Alyth;1;13261
Hidden Orchestra;Wingbeats;1;13262
Hidden Orchestra;Serpentine;1;13263
Hidden Orchestra;Stone;1;13264
Leifur James;Time;9;1356
Leifur James;Red Sea;1;13265
Coss;Rose Mallow;1;13266
The Lot Radio;Nicola Cruz @ The Lot Radio (Jan 26, 2018);1;13267
U.S. Girls;Poem;9;1357
U.S. Girls;Time;10;1137
Pedestrian;Deep In Daylight - Original Mix;1;13268
Pedestrian;Torn Blue - Original Mix;1;13269
Pedestrian;JNT - Original Mix;3;5683
Dengue Dengue Dengue;Flootz;2;8180
Cero39;Mucura;3;5684
Toro y Moi;Mirage;1;13270
Toro y Moi;No Show;1;13271
Toro y Moi;Mona Lisa;1;13272
Toro y Moi;Pavement;1;13273
Toro y Moi;Don't Try;1;13274
Toro y Moi;Embarcadero;1;13275
Kelly Lee Owens;S.O;7;1978
Kelly Lee Owens;Arthur;5;3195
Kelly Lee Owens;Anxi.;8;1622
Kelly Lee Owens;Lucid;2;8181
Kelly Lee Owens;Evolution;18;329
Kelly Lee Owens;Bird;6;2498
Kelly Lee Owens;Throwing Lines;2;8182
Kelly Lee Owens;CBM;3;5685
Kelly Lee Owens;Keep Walking;2;8183
Kelly Lee Owens;8;2;8184
Kelly Lee Owens;Spaces;1;13276
Kelly Lee Owens;Pull;6;2499
Kelly Lee Owens;1 of 3;3;5686
George Fitzgerald;Roll Back - Single Mix;1;13277
George Fitzgerald;Nobody But You (feat. Hudson Scott);6;2500
Mildlife;The Magnificent Moon;6;2501
Mildlife;Zwango Zop;6;2502
Mildlife;Im Blau;3;5687
Mildlife;Phase;2;8185
Mildlife;Two Horizons;2;8186
Mildlife;The Gloves Don't Bite;5;3196
Cero39;Calentana;1;13278
Cero39;Colmado;1;13279
Dengue Dengue Dengue!;Serpiente dorada;1;13280
Dengue Dengue Dengue!;Simiolo;1;13281
Jon Hopkins;Emerald Rush;4;4173
Mano Le Tough;Kitedub;7;1979
Mano Le Tough;Ahsure;2;8187
Sophia Kennedy;Build Me A House;4;4174
Sophia Kennedy;Dizzy Izzy;14;609
Sophia Kennedy;Something Is Coming My Way;4;4175
Sophia Kennedy;A Bug On A Rug In A Building;4;4176
Sophia Kennedy;Foam;7;1980
Sophia Kennedy;Baltimore;3;5688
Sophia Kennedy;Hello, I Found You;3;5689
Soulphiction;Stick Up;1;13282
Soulphiction;Acid Test;1;13283
Erik Truffaz;Origin of the World;1;13284
Sea Moya;New Past;7;1981
Sea Moya;Nothing Is Real;1;13285
Sea Moya;Photographs;1;13286
Sea Moya;Palmy Clouds;7;1982
Matanza;Existencia - Acid Pauli Remix;1;13287
Acid Pauli;Rambling Man (Hank Williams Remix);1;13288
viva sherry;Holiday;1;13289
viva sherry;Movin my love;1;13290
viva sherry;Chocolate;1;13291
Rejjie Snow;Hello;16;445
Rejjie Snow;Rainbows;19;275
Rejjie Snow;The Wonderful World of Annie;16;446
Rejjie Snow;23;17;380
Rejjie Snow;Pink Lemonade;13;716
Rejjie Snow;Skinny Jasmine Intermission;10;1138
Shafiq Husayn;Lil Girl feat. Fatima;3;5690
Oumou Sangaré;Minata Waraba (Sampha Remix);1;13292
NATUREBOY FLAKO;Gelis;1;13293
NATUREBOY FLAKO;Shipibo Icaro;2;8188
Moses Boyd;Drum Dance;2;8189
Mano Le Tough;Primative People - Tale Of Us Remix;1;13294
Indian Wells;Cascades;2;8190
Andy Cato;Abbey Road Jam;1;13295
Flamingods;Majestic Fruit - Susso Remix;2;8191
A/T/O/S;Trees;1;13296
WhoMadeWho;Working After Midnight;1;13297
Georgia Anne Muldrow;Great Blacks;1;13298
Wilma Archer;Like A Hunger;3;5691
Move D;To the Disco ‘77;2;8192
David Lee Jr.;Second Line March;1;13299
Olivier St.Louis;Dog in Man;6;2503
Milo;Souvenir (feat. Hemlock Ernst);1;13300
Frankie Reyes;La Comparsa;1;13301
Maribou State;The Clown - Axel Boman Remix;2;8193
Rokia Traoré;Laidu;3;5692
Peter Broderick;And It's Alright (Nils Frahm Remix);2;8194
Bajka;The World;1;13302
Portico Quartet;Ruins;2;8195
Tata Dindin;Medley of Instrumentals;3;5693
Jimi Tenor;"Selfish Gene - taken from the album "" Inspiration Information 4 """;1;13303
Holy Forest;Africa Calling (feat. Preachermann, Tata Din Din & the Antibalas Horns);1;13304
ElPeche;Mentes Unidas - ElPeche & Salvador Araguaya Remix;1;13305
Iorie;Azalea;3;5694
Coss;Shift II - Original Mix;3;5695
Alphonse Mouzon;Mind Transplant;2;8196
Alphonse Mouzon;The Ram And The Scorpio;1;13306
Alphonse Mouzon;Master Funk;1;13307
Rahsaan Roland Kirk;Blacknuss;2;8197
Frank Zappa;G-Spot Tornado;1;13308
Axel Boman;Can't Find It;5;3197
Awkwafina;NYC Bitche$;6;2504
Alphonse Mouzon;Snow Bound;1;13309
Betty Davis;If I'm In Luck I Might Get Picked Up;2;8198
Alphonse Mouzon;Carbon Dioxide;1;13310
Alphonse Mouzon;Ascorbic Acid;1;13311
Alphonse Mouzon;Happiness Is Loving You;1;13312
Alphonse Mouzon;Some Of The Things People Do;1;13313
Alphonse Mouzon;Golden Rainbows;1;13314
Alphonse Mouzon;Nitroglycerin;1;13315
Michael Kiwanuka;Cold Little Heart - Radio Edit;15;522
Da Cruz;Pais do Futuro;2;8199
Hello Skinny;Prelude;7;1983
Hello Skinny;Watermelon Sun;6;2505
Hello Skinny;Mr. P.Z.;7;1984
Hello Skinny;Signs;6;2506
Hello Skinny;Bluebells;5;3198
Sudan Archives;Water;2;8200
Sudan Archives;Paid;7;1985
Sudan Archives;Come Meh Way;7;1986
Sudan Archives;Time;5;3199
Sudan Archives;Oatmeal;5;3200
Sudan Archives;Goldencity;5;3201
Sudan Archives;Wake Up;5;3202
Rampa;You Are Safe;4;4177
Rampa;Café Des Schicksals;3;5696
Rampa;Civilist;2;8201
Rampa;Muyè;1;13316
Rampa;Lover;1;13317
Sophia Kennedy;Being Special;7;1987
Sophia Kennedy;Afraid;2;8202
Sophia Kennedy;Apple in the Basket;2;8203
Milo;Poet (Black Bean);2;8204
Milo;Landscaping;2;8205
Milo;Call + Form (Picture);2;8206
Milo;Magician (Suture);1;13318
Milo;The Young Man Has A Point (Nurture);1;13319
Milo;Pablum // Celeskingiii;1;13320
Milo;Note to Mrs;1;13321
Milo;Paging Mr. Bill Nunn;1;13322
Milo;Sorcerer;1;13323
Milo;take advantage of the naysayer;1;13324
Milo;IDK;1;13325
Milo;Yet Another;1;13326
Milo;Ornette's Swan Song;1;13327
Milo;Embroidering Machine;1;13328
Milo;Rapper;1;13329
MGMT;She Works Out Too Much;1;13330
Hello Skinny;Rashad;5;3203
Hello Skinny;iDEATH;4;4178
Hello Skinny;Coda;6;2507
Nubya Garcia;Lost Kingdoms;7;1988
Nubya Garcia;Fly Free;7;1989
Nubya Garcia;Hold;29;82
Nubya Garcia;Contemplation;5;3204
Nubya Garcia;Red Sun;5;3205
Quiet Dawn;Human;1;13331
Quiet Dawn;The Reed;1;13332
Quiet Dawn;Planet;1;13333
Quiet Dawn;Passion and Anger;1;13334
Quiet Dawn;Risk It;1;13335
Quiet Dawn;Being;2;8207
George Fitzgerald;Two Moons Under;4;4179
George Fitzgerald;Frieda;4;4180
George Fitzgerald;Burns;6;2508
George Fitzgerald;Roll Back;4;4181
George Fitzgerald;Siren Calls;8;1623
George Fitzgerald;Half-Light - Night Version;2;8208
George Fitzgerald;The Echo Forgets;2;8209
George Fitzgerald;Passing Trains;3;5697
Sophia Kennedy;William By The Windowsill;2;8210
Sophia Kennedy;Kimono Hill;2;8211
Sophia Kennedy;3,05;1;13336
⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ;̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉;5;3206
Tunnelvisions;Gobi;1;13337
Tunnelvisions;Bayuda;1;13338
HAAi;Dadada;3;5698
HAAi;E;5;3207
HAAi;Be Good;6;2509
HAAi;FEELS;2;8212
Sälen;Copper Kiss - HAAi/Juno Mars Dub Excursion;1;13339
Awate;Jewels;1;13340
Awate;Acab;1;13341
Awate;Guillotines;1;13342
Awate;The Ghetto;1;13343
Awate;Wake Up Aneurin Bevan;1;13344
Awate;An Intermission for the Struggle of Black Life...;1;13345
Kamasi Washington;Desire;1;13346
Kamasi Washington;Humility;1;13347
Kamasi Washington;Knowledge;1;13348
Kamasi Washington;Perspective;2;8213
Kamasi Washington;Integrity;1;13349
Ben Westbeech;Welcome;1;13350
Ben Westbeech;So Good Today;1;13351
Ben Westbeech;Get Silly;1;13352
Ben Westbeech;Bright Future;1;13353
Ben Westbeech;Nothing Else;1;13354
Yellow Days;A Bag of Dutch;3;5699
Ben Westbeech;Gotta Keep On;1;13355
Ben Westbeech;Taken Away from;1;13356
Ben Westbeech;Grey Skies;1;13357
Ben Westbeech;Stop What You're Doing;1;13358
Ben Westbeech;Dance With Me;1;13359
Rejjie Snow;Mon Amour;9;1358
Rejjie Snow;OH NO!;7;1990
Rejjie Snow;Spaceships;8;1624
