Name;Tracks;Scrobbles;Rank
"Locust Toybox";"7";"119";"82"
"Makaya McCraven";"37";"49";"287"
"Big Thief";"16";"109";"95"
"Photay";"27";"39";"360"
"Young Fathers";"12";"35";"395"
"Stimming x Lambert";"22";"106";"105"
"Ghostpoet";"24";"35";"396"
"Carol Anne McGowan";"1";"1";"5555"
"Dauwd";"31";"230";"24"
"Emanative";"57";"131";"73"
"STAC";"1";"2";"4153"
"Rosie Brown";"1";"1";"5556"
"Dele Sosimi";"16";"114";"89"
"Paper Tiger";"4";"4";"2874"
"Black Classical";"25";"75";"170"
"Mecca:83";"1";"1";"5557"
"Resonators";"1";"1";"5558"
"Sarathy Korwar";"14";"26";"532"
"Crazy P";"21";"41";"338"
"Yazz Ahmed";"9";"17";"868"
"Julia Biel";"1";"1";"5559"
"Blue States";"3";"3";"3388"
"Plantrae";"1";"1";"5560"
"Elsa Hewitt";"5";"6";"2218"
"Kerem Akdağ";"4";"8";"1767"
"Imarhan";"1";"1";"5561"
"Khruangbin";"64";"122";"77"
"Mala";"3";"9";"1603"
"Randy Weston";"1";"1";"5562"
"Golden Teacher";"8";"19";"762"
"Little Simz";"11";"29";"475"
"Thump";"1";"1";"5563"
"Collocutor";"15";"26";"533"
"Emanative & Earl Zinger & RN9";"1";"1";"5564"
"Kodäma";"4";"7";"1960"
"Slowdive";"2";"2";"4154"
"Larry de Kat";"11";"17";"869"
"Ninze";"5";"6";"2219"
"ÌFÉ";"2";"11";"1339"
"Etherwood";"1";"1";"5565"
"Hector Plimmer";"25";"51";"273"
"Afriquoi";"2";"2";"4155"
"Suplington";"1";"1";"5566"
"Honny & The Bees Band";"1";"6";"2220"
"Gorillaz";"41";"219";"27"
"Alice Russell";"2";"21";"683"
"Dabrye";"18";"50";"281"
"Black Classical meets Sarah Webster Fabio";"2";"2";"4156"
"Yahoos";"1";"1";"5567"
"Oscar Sulley";"1";"1";"5568"
"DAISHO";"2";"4";"2875"
"Sun Ra";"7";"32";"431"
"DJ Sports";"8";"12";"1229"
"Fiium Shaarrk";"5";"7";"1961"
"Group As Salaam";"1";"1";"5569"
"Sam Jones";"1";"1";"5570"
"mugwisa international xylophone group";"3";"10";"1473"
"kurup";"16";"73";"174"
"Magnus P.i";"4";"11";"1340"
"Native Cruise";"16";"43";"321"
"Will Lister";"4";"17";"870"
"Rouge Mécanique";"3";"5";"2490"
"LT";"6";"22";"651"
"Dear earth";"1";"2";"4157"
"Tom Esselle";"2";"15";"976"
"MSSS";"1";"4";"2876"
"SofaTalk";"9";"11";"1341"
"Four Tet";"76";"118";"84"
"Jessy Lanza";"7";"11";"1342"
"The Bones of J.R. Jones";"5";"5";"2491"
"Shiny Objects";"5";"8";"1768"
"Joseph Shabason";"16";"136";"67"
"Shabazz Palaces";"2";"4";"2877"
"PolyNation";"2";"2";"4158"
"Estrada Orchestra";"1";"1";"5571"
"Bicep";"4";"24";"582"
"DJ Nigga Fox";"2";"10";"1474"
"Peggy Gou";"15";"50";"282"
"Sons of Kemet";"5";"11";"1343"
"Shabaka Hutchings";"1";"2";"4159"
"Jameszoo";"1";"3";"3389"
"Evidence";"10";"14";"1033"
"Samiyam";"1";"1";"5572"
"Blue Lab Beats";"12";"28";"497"
"Susso";"11";"58";"234"
"Slime";"1";"1";"5573"
"Worldwide FM";"4";"5";"2492"
"Obongjayar";"2";"5";"2493"
"Mo Kolours";"9";"16";"923"
"Star Slinger";"1";"1";"5574"
"The Seshen";"2";"3";"3390"
"Gwenno";"1";"5";"2494"
"The Mysterons";"1";"1";"5575"
"Richard Houghten";"75";"112";"92"
"Virgil Howe";"1";"6";"2221"
"Michael Gordon";"1";"2";"4160"
"Cornelius";"3";"13";"1125"
"Skinshape";"54";"111";"94"
"Chassol";"13";"16";"924"
"Mr Jukes";"1";"1";"5576"
"Solesides";"1";"1";"5577"
"A Macaca";"2";"18";"810"
"Bill Withers";"3";"3";"3391"
"Maxwell Owin";"6";"20";"723"
"Robag Wruhme";"17";"60";"223"
"Daniel Avery";"24";"56";"248"
"Clever Austin";"9";"10";"1475"
"Mast";"20";"55";"257"
"Sean Khan";"1";"2";"4161"
"Bontan";"1";"1";"5578"
"La Yegros";"1";"1";"5579"
"Traumprinz";"14";"15";"977"
"Totally Enormous Extinct Dinosaurs";"12";"16";"925"
"Amber Mark";"9";"47";"300"
"Principles of Geometry";"1";"3";"3392"
"Midnight Sister";"6";"13";"1126"
"John Talabot";"18";"73";"175"
"Avalon Emerson";"6";"6";"2222"
"Toshio Matsuura Group";"8";"45";"306"
"Jessica Lauren";"1";"4";"2878"
"Grupo X";"1";"1";"5580"
"Kerala Dust";"7";"9";"1604"
"Alma Negra";"4";"15";"978"
"Seb Wildblood";"33";"67";"200"
"Rodrigo Gallardo";"33";"52";"266"
"Ryley Walker";"2";"3";"3393"
"Boards of Canada";"23";"36";"385"
"Kaitlyn Aurelia Smith";"40";"185";"38"
"Prince of Denmark";"4";"4";"2879"
"Majik";"1";"3";"3394"
"C.O.W. 牛";"3";"3";"3395"
"Ross From Friends";"23";"49";"288"
"Ólafur Arnalds";"30";"117";"86"
"Marenn Sukie";"10";"14";"1034"
"Glenn Astro";"18";"94";"123"
"DJ Katapila";"1";"2";"4162"
"Earthboogie";"10";"33";"419"
"Bennis Cletin";"1";"1";"5581"
"Rang'ala";"1";"2";"4163"
"Francis Bebey";"5";"13";"1127"
"Christy Essien";"2";"10";"1476"
"Aby Ngana Diop";"1";"3";"3396"
"Ali Nuur";"1";"2";"4164"
"Maisha";"2";"4";"2880"
"Ezra Collective";"57";"314";"13"
"Theon Cross";"5";"6";"2223"
"Cortex";"6";"7";"1962"
"Oceanvs Orientalis";"30";"71";"178"
"Lutto Lento";"7";"7";"1963"
"Nicola Cruz";"51";"154";"58"
"Gábor Szabó";"20";"91";"131"
"Ali Kuru";"5";"7";"1964"
"Shaluza Max";"1";"6";"2224"
"Leon Vynehall";"32";"59";"227"
"Yaeji";"2";"3";"3397"
"Bawrut";"1";"4";"2881"
"Midland";"5";"10";"1477"
"Mr. Fingers";"5";"5";"2495"
"JD Twitch";"2";"2";"4165"
"Melé";"5";"12";"1230"
"Tale of Us";"2";"4";"2882"
"Yotam Avni";"1";"3";"3398"
"Mr. T.C.";"1";"1";"5582"
"Massimo Vanoni";"1";"1";"5583"
"Baaba Maal";"1";"1";"5584"
"Mr Raoul K";"2";"2";"4166"
"Khidja";"2";"2";"4167"
"Hey Mother Death";"1";"1";"5585"
"Mark Knight";"1";"6";"2225"
"The Emperor Machine";"4";"13";"1128"
"Bob Sinclar";"1";"2";"4168"
"Trikk";"1";"1";"5586"
"Mind Enterprises";"2";"2";"4169"
"Cerrone";"6";"13";"1129"
"Shuggie Otis";"13";"94";"124"
"Norma Tanega";"1";"1";"5587"
"Bepu N'Gali";"1";"1";"5588"
"Mocky";"10";"38";"369"
"Tune-Yards";"1";"1";"5589"
"thomas meinecke";"3";"8";"1769"
"Tenesha The Wordsmith";"10";"52";"267"
"Andréa Daltro";"1";"5";"2496"
"Morrison Kincannon";"16";"34";"406"
"FYI Chris";"3";"3";"3399"
"Koji Ono";"1";"1";"5590"
"Ruby Rushton";"5";"6";"2226"
"Piry Reis";"1";"4";"2883"
"Avant Garde";"1";"1";"5591"
"Nando Carneiro";"1";"6";"2227"
"Cinema";"1";"5";"2497"
"Os Mulheres Negras";"2";"6";"2228"
"Fernando Falcão";"12";"66";"201"
"Anno Luz";"1";"3";"3400"
"Sunwatchers";"6";"6";"2229"
"Che";"10";"22";"652"
"Radio Slave";"2";"6";"2230"
"Tommaso Cappellato";"17";"25";"554"
"Dr. Lonnie Smith";"4";"4";"2884"
"Planet Battagon";"2";"5";"2498"
"Populous";"6";"10";"1478"
"松浦俊夫 presents HEX";"8";"16";"926"
"Umeko Ando";"18";"25";"555"
"Gacha Bakradze";"1";"1";"5592"
"Marc Moulin";"5";"7";"1965"
"Portable Sunsets";"2";"3";"3401"
"San Ignacio";"13";"22";"653"
"Discoshaman";"1";"3";"3402"
"Rio Mira";"1";"1";"5593"
"Jean Grae";"12";"14";"1035"
"Improbeats";"3";"7";"1966"
"Tom Misch";"7";"10";"1479"
"Ekambi Brillant";"1";"7";"1967"
"String Theory";"3";"5";"2499"
"Hailu Mergia";"13";"21";"684"
"Dj Duke";"2";"6";"2231"
"GO DUGONG";"15";"26";"534"
"Romare";"46";"248";"21"
"Chancha Via Circuito";"21";"39";"361"
"Alican";"1";"6";"2232"
"Tuğçe Kurtiş";"1";"2";"4170"
"Shake Stew";"11";"36";"386"
"Massive Attack";"4";"6";"2233"
"Shakarchi & Stranéus";"17";"198";"33"
"The Irresistible Force";"5";"7";"1968"
"Chip Wickham";"9";"25";"556"
"Paul White";"8";"15";"979"
"Wajatta";"8";"13";"1130"
"Manfredas";"9";"12";"1231"
"Blu";"3";"3";"3403"
"Poté";"3";"6";"2234"
"Cecil Taylor";"2";"3";"3404"
"Haley Bonar";"1";"7";"1969"
"Donald Byrd";"1";"1";"5594"
"The Notwist";"9";"14";"1036"
"<Unknown>";"1";"1";"5595"
"Onyx Collective";"16";"19";"763"
"Kamaal Williams";"28";"98";"117"
"Kiasmos";"7";"8";"1770"
"James 'Creole' Thomas";"13";"15";"980"
"Bonobo";"48";"537";"2"
"Nickodemus";"20";"45";"307"
"bleaker";"1";"1";"5596"
"Kelis";"1";"7";"1970"
"Mehmet Aslan";"9";"39";"362"
"Nicola Conte";"33";"109";"96"
"Carsten Erobique Meyer";"3";"9";"1605"
"Alogte Oho & His Sounds of Joy";"2";"13";"1131"
"Clap! Clap!";"19";"73";"176"
"Pletnev";"7";"10";"1480"
"Yør Kultura";"10";"26";"535"
"Musi-O-Tunya";"1";"1";"5597"
"Hippster Trio";"1";"1";"5598"
"Altin Gün";"23";"34";"407"
"Selda Bağcan";"2";"3";"3405"
"Derya Yildirim";"2";"5";"2500"
"Mustafa Özkent";"2";"7";"1971"
"Om Alec Khaoli";"3";"9";"1606"
"Truckers Of Husk";"1";"3";"3406"
"Shabaka And The Ancestors";"8";"16";"927"
"Dead Horse Beats";"2";"8";"1771"
"Auntie Flo";"32";"86";"145"
"Tech Insider";"1";"1";"5599"
"Richard Rossa";"1";"2";"4171"
"Dan Lissvik";"4";"5";"2501"
"José Manuel";"1";"1";"5600"
"Marc Rapson";"1";"1";"5601"
"Black Coffee";"1";"2";"4172"
"Emma-Jean Thackray";"10";"18";"811"
"Mose Robers";"1";"1";"5602"
"Niña Dioz";"1";"1";"5603"
"The Internet";"1";"2";"4173"
"Tsvia Abarbanel";"4";"34";"408"
"The Kutimangoes";"2";"2";"4174"
